frame,time
457,15.197
458,15.231
459,15.264
460,15.297
461,15.331
462,15.364
463,15.397
464,15.431
465,15.464
466,15.497
467,15.531
468,15.564
469,15.597
470,15.631
471,15.664
472,15.697
473,15.731
474,15.764
475,15.797
476,15.831
477,15.864
478,15.897
479,15.931
480,15.964
481,15.997
482,16.031
483,16.064
484,16.097
485,16.131
486,16.164
487,16.197
488,16.231
489,16.264
490,16.297
491,16.331
492,16.364
493,16.397
494,16.431
495,16.464
496,16.497
497,16.531
498,16.564
499,16.597
500,16.631
501,16.664
502,16.697
503,16.730
504,16.764
505,16.797
506,16.830
507,16.864
508,16.897
509,16.930
510,16.964
511,16.997
512,17.030
513,17.064
514,17.097
515,17.130
516,17.164
517,17.197
518,17.230
519,17.264
520,17.297
521,17.330
522,17.364
523,17.397
524,17.430
525,17.464
526,17.497
527,17.530
528,17.564
529,17.597
530,17.630
531,17.664
532,17.697
